FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
197,EMERGENCY LEAK,2/2/2022 12:00:00 AM,"Westmoreland Ave & E Colvin St, Syracuse, New York, 13210",WESTMORELAND AV 1600,-8472866.358,5315316.792,-8472866.358,5315316.792
198,EMERGENCY LEAK,2/2/2022 12:00:00 AM,E.ADAMS ST (MONTGOMERY ST & S.STATE ST),E ADAMS ST (MONTGOMERY ST & S.STATE ST),-8476780.27,5318487.464,-8476780.27,5318487.464
199,EMERGENCY LEAK,2/1/2022 12:00:00 AM,"S State St, Syracuse, New York, 13205",S STATE ST 100,-8476685.643,5319583.294,-8476685.643,5319583.294
200,EMERGENCY LEAK,2/1/2022 12:00:00 AM,828 Jamesville Ave,828 Jamesville Ave,-8474811.311,5314815.84,-8474811.311,5314815.84
201,EMERGENCY LEAK,2/1/2022 12:00:00 AM,"127 Cornell Ave,  Syracuse,  New York,  13207",CORNELL AV 127,-8479165.027,5313721.442,-8479165.027,5313721.442
202,EMERGENCY LEAK,1/31/2022 12:00:00 AM,"S State St & E Raynor Ave,  Syracuse,  New York,  13202",S STATE ST 1300,-8476659.386,5317372.206,-8476659.386,5317372.206
203,EMERGENCY LEAK,1/31/2022 12:00:00 AM,"551 Buckingham Ave,  Syracuse,  New York,  13210",BUCKINGHAM AV 500,-8473675.702,5315399.387,-8473675.702,5315399.387
204,REPAIR MAIN,1/30/2022 12:00:00 AM,"204 Ash St, Syracuse, New York, 13208",204-10 ASH ST,-8477151.301,5321039.991,-8477151.301,5321039.991
205,EMERGENCY LEAK,1/29/2022 12:00:00 AM,"922 Erie Blvd W, Syracuse, New York, 13204",LEFT SIDE OF 922 ERIE BLVD W IN THE PARKING LOT,-8479681.448,5319312.248,-8479681.448,5319312.248
206,EMERGENCY LEAK,1/29/2022 12:00:00 AM,"211 Kenwick Dr, Syracuse, New York, 13208",211 KENWICK DR SYRACUSE NY,-8475353.223,5323571.39,-8475353.223,5323571.39
207,EMERGENCY LEAK,1/28/2022 12:00:00 AM,"Crawford Ave & Broad St,  Syracuse,  New York,  13224",BROAD ST 1300,-8472600.819,5316699.143,-8472600.819,5316699.143
208,EMERGENCY LEAK,1/28/2022 12:00:00 AM,Erie Blvd E. @ N. Beech St.,N/E Corner of intersection,-8474466.67,5319655.215,-8474466.67,5319655.215
209,EMERGENCY LEAK,1/27/2022 12:00:00 AM,1315 Westmoreland Ave,1315 Westmoreland Ave,-8472931.775,5316307.892,-8472931.775,5316307.892
210,EMERGENCY LEAK,1/26/2022 12:00:00 AM,256 W. Fayette St.,On Washington St. side,-8477453.144,5319519.32,-8477453.144,5319519.32
211,EMERGENCY LEAK,1/26/2022 12:00:00 AM,401 N. State St.,401 N. State St.,-8476982.45,5320257.688,-8476982.45,5320257.688
212,EMERGENCY LEAK,1/26/2022 12:00:00 AM,340 Kensington Pl.,Front of property,-8473576.338,5316038.847,-8473576.338,5316038.847
213,EMERGENCY LEAK,1/25/2022 12:00:00 AM,Lime St & Northway St,S/E Corner of Lime St & Northway,-8470749.099,5319982.691,-8470749.099,5319982.691
214,EMERGENCY LEAK,1/25/2022 12:00:00 AM,"205 Ash St, Syracuse, New York, 13208",IN FRONT OF 205 ASH ST,-8477151.301,5321039.991,-8477151.301,5321039.991
215,EMERGENCY LEAK,1/25/2022 12:00:00 AM,"100 Phillips Rd, Syracuse, New York, 13214",PHILLIPS RD 100,-8470659.531,5319098.47,-8470659.531,5319098.47
216,EMERGENCY LEAK,1/25/2022 12:00:00 AM,"South Ave & Kirk Ave, Syracuse, New York, 13207",SOUTH AV . SOUTH AVE @ KIRK AVE ON BRIDGE,-8477901.736,5316157.543,-8477901.736,5316157.543
